[2024-12-02 11:05:47.990] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 11:05:47.991] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:05:47.991] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.5a91e381-5e33-4f47-8e88-507eeec8be34.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:06:47.993] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 11:06:47.993] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:06:47.994] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.674d2cf3-cc45-43c7-a09d-ce8ff98c22be.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:07:47.973] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 11:07:47.973] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:07:47.973] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.84de943f-fa5d-4fc6-be2d-ff0cce07d142.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:08:47.982] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 11:08:47.982] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:08:47.983] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.205b9b53-100b-4c90-874d-13dc39dd751b.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:09:47.992] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
